stt,title,dicrector_id,director,cast,country,release_year,rating,số đánh giá,content rating,listed_in,CIRCULATE,target,content_rating
1,Kong: Đảo Đầu Lâu,D055,Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly, John Goodman, Corey Hawkins, John Ortiz, Thiên Kinh,...",Mỹ,2017,6.7,368000,T13,"Dark Fantasy, Jungle Adventure, Kaiju, Supernatural Fantasy, Survival, Action, Adventure, Fantasy, Sci-Fi",release,Low,5
2,Người Tình,D001,Jean-Jacques Annaud,"Jeanne Moreau, Jane March, Tony Ka Fai Leung, Frédérique Meininger, Arnaud Giovaninetti, Melvil Poupaud, Lisa Faulkner, Xiem Mang,...","Pháp, Anh, Việt Nam",1992,6.8,25000,T18,"Period Drama, Biography, Drama, Romance",release,Low,8
3,Người Mỹ Trầm Lặng,D129,Phillip Noyce,"Michael Caine, Brendan Fraser, Do Thi Hai Yen, Rade Serbedzija, Tzi Ma, Robert Stanton, Holmes Osborne, Quang Hai,...",Mỹ,2002,7.0,31000,T18,"Political Thriller, Spy, Drama, Romance, Thriller, War",release,Low,8
5,The Watcher,D054,Joe Charbanic,"James Spader, Marisa Tomei, Keanu Reeves, Ernie Hudson, Chris Ellis, Robert Cicchini, Yvonne Niami, Jenny McShane,...",Mỹ,2000,5.3,29000,T18,"Serial Killer, Crime, Drama, Mystery, Thriller",release,Low,8
6,Mùi Đu Đủ Xanh,D144,Trần Anh Hùng,"Nu Yên-Khê Tran, Man San Lu, Thi Loc Truong, Anh Hoa Nguyen, Hoa Hoi Vuong, Ngoc Trung Tran, Vantha Talisman, Keo Souvannavong,...",Pháp-Việt Nam,1993,7.3,11000,Not rated,"Drama, Music, Romance",release,Low,3
10,Tiệm Ăn Của Quỷ,D145,Trần Hàm,"Le Quoc Nam, Vo Dien Gia Huy, Sy Toan, Nguyen Le Viet Hung, Thi Kieu Trinh Nguyen, Le Huynh, Xuan Van, Jayvee Mai The Hiep,...",Việt Nam,2025,7.1,719,P,"Folk Horror, Supernatural Horror, Drama, Horror, TV Series",release,Low,4
11,Chị Chị Em Em,D056,Kathy Uyên,"Thanh Hang, Trang Le, Truong Thanh Long, Uyen My, Chi Pu, Lanh Thanh, Tung Yuki,...",Việt Nam,2019,5.6,372,T18,"Drama, Thriller",release,Low,8
12,Bẫy Rồng,D077,Lê Thanh Sơn,"Johnny Tri Nguyen, Veronica Ngo, Hoang Phuc Nguyen, Lam Minh Thang, Hieu Hien, Truong The Vinh, Nguyen Hau, Alain Bruxelles,...",Việt Nam,2009,5.9,1200,T18,"Action, Crime, Thriller",release,Low,8
14,Thám Tử Kiên: Kỳ Án Không Đầu,D162,Victor Vũ,"Quoc Huy, Doan Minh Anh, Pham Quynh Anh, Tran Quoc Anh, Quoc Cuong, Dinh Ngoc Diep, Sy Toan, Trinh Tu Trung",Việt Nam,2025,7.0,585,T16,"Folk Horror, Suspense Mystery, Drama, Horror, Mystery, Thriller",release,Low,6
15,Mai,D150,Trấn Thành,"Huynh Uyen An, Hong Dao, Phuong Anh Dao, Ngoc Giau, Do Nhat Hoang, Quoc Khanh, Manh Lan, Tran Thanh, Tuan Tran,...",Việt Nam,2024,6.8,1700,T18,"Dark Romance, Drama, Romance",release,Low,8
16,Abduction,D037,Ernie Barbarash,"cott Adkins, Andy On, Truong Ngoc Anh, Mohammad Sadegh Amiri, Lily Ji, Aki Aleong, Daniel Whyte, Mike Leeder, Brahim Chab, Paul W. He,...","Mỹ, Hồng Kông",2019,4.6,4200,Not rated,"Martial Arts, Action, Horror, Sci-Fi, Thriller",release,Low,3
17,Lật Mặt 7: Một Điều Ước,D084,Lý Hải,"Tram Anh, Truong Minh Cuong, Ceri Thu Ha, Ly Hai, Tran Kim Hai, Thanh Hien, Ammy Minh Khue, Tin Nguyen, Dinh Y Nhung, Thanh Thuc, Quach Ngoc Tuyen, Thai Vu, Tung Yuki,...",Việt Nam,2024,7.3,401,K,"Comedy, Drama",release,Low,2
18,Lật Mặt 8: Vòng Tay Nắng,D084,Lý Hải,"Yuno Bigboi, Kim Phuong, Ho Dong Quan, Nsut Tuyet Thu, Long Dep Trai, Anh Tu, Quach Ngoc Tuyen, Doan The Vinh,...",Việt Nam,2025,6.1,52,T13,"Coming-of-Age, Comedy, Drama, Family",release,Low,5
20,Hai Phượng,D079,Lê Văn Kiệt,"Veronica Ngo, Mai Cát Vi, Thanh Nhien Phan, Pham Anh Khoa, Kim Long Thach, Khanh Ngoc Mai, Hoa Thanh, Pompatama, Trang Le, Hien Trang, Voi Tuan, Jack Lee,..",Việt Nam,2019,6.3,6000,T16,"Martial Arts, One-Person Army Action, Action, Drama, Thriller",release,Low,6
21,Trong Lòng Đất,D159,Trương Minh Quý,"Lê Tuấn Anh, Nguyễn Văn Cảm","Việt Nam, Philippines",2024,6.3,230,C,Drama,release,Low,0
22,Tay Anh Giữ Một Vì Sao,D063,Kim Sung-hoon,"Lee Kwang-Soo, Hoàng Hà, Duy Khánh","Việt Nam, Hàn Quốc",2025,7.1,10,K,Romance,release,Low,2
24,Thanh Sói,D093,Ngô Thanh Vân,"Đồng Ánh Quỳnh, Tóc Tiên, Rima Thanh Vy",Việt Nam,2022,5.9,1700,T18,"Action, Crime",release,Low,8
26,Bên Trong Vỏ Kén Vàng,D123,Phạm Thiên Ân,"Lê Phong Vũ, Nguyễn Thị Trúc Quỳnh","Việt Nam, Singapore, Pháp, Tây Ban Nha",2023,6.8,1900,T18,Drama,release,Low,8
27,Cục Vàng Của Ngoại,D062,Khương Ngọc,"Viet Huong, Hong Dao, Bang Di, Khanh Le, Lam Thanh My, Huu Chau, Tuan Khai",Việt Nam,2025,7.2,2588,T13,"Comedy, Drama, Family",release,Low,5
28,Người Vợ Cuối Cùng,D162,Victor Vũ,"Kaity Nguyễn, Thuận Nguyễn",Việt Nam,2023,6.4,547,T18,"Drama, History, Romance",release,Low,8
29,Bộ Tứ Báo Thủ,D150,Trấn Thành,"Tiểu Vy, Quốc Anh, Kỳ Duyên",Việt Nam,2025,5.4,238,T16,Comedy,release,Low,6
31,578: Phát Đạn Của Kẻ Điên,D080,Lương Đình Dũng,"Alexandre Nguyễn, H'Hen Niê, Hoàng Phúc",Việt Nam,2022,4.1,955,T18,"Action, Thriller",release,Low,8
32,Nhà Gia Tiên,D049,Huỳnh Lập,"Huỳnh Lập, Phương Mỹ Chi, Hạnh Thúy",Việt Nam,2025,6.9,284,T18,"Comedy, Fantasy",release,Low,8
33,"Tóc, Giáy Và Nuóc",D159,Trương Minh Quý,Thi Hau CaoXuan Doanh CaoThi Hieu Cao,"Việt Nam, Bỉ",2025,6.0,24,Not rated,"Drama, Fantasy",release,Low,3
